method,regime,num_cycles,density,samp_size,seed,d,num_nodes,threshold,ari_scc,fscore,var_precision,var_recall,var_fscore,var_shd,inter_scc_precision,inter_scc_recall,inter_scc_fscore,chosen_threshold,chosen_beta,bic_score,runtime_sec,num_sccs,max_scc_size,num_nontrivial,frac_nontrivial,has_cycles,num_parts_est
lacerda,hard,5,0.5,100,0,20,20,,0.0,0.5527638190954773,0.314569536423841,0.9405940594059404,0.4714640198511166,213,0.2902097902097902,0.9325842696629212,0.4426666666666666,,,,0.4042083970271051,13,3,5,0.6,1,1
lacerda,hard,5,0.5,100,1,20,20,,0.0,0.6213592233009708,0.2919254658385093,0.903846153846154,0.4413145539906102,238,0.2912280701754386,0.9431818181818182,0.4450402144772118,,,,0.4017859029117971,9,6,5,0.8,1,1
lacerda,hard,5,0.5,100,2,20,20,,0.0,0.6166666666666667,0.3133333333333333,0.8703703703703703,0.4607843137254901,220,0.3014705882352941,0.8817204301075269,0.4493150684931507,,,,0.5603199088945985,10,4,5,0.75,1,1
lacerda,hard,5,0.5,100,3,20,20,,0.0,0.6601941747572816,0.3035143769968051,0.9595959595959596,0.4611650485436893,222,0.2918149466192171,0.9879518072289156,0.4505494505494505,,,,1.3571202799212188,9,4,5,0.8,1,1
lacerda,hard,5,0.5,100,4,20,20,,0.0,0.5416666666666666,0.2834394904458598,0.9081632653061223,0.4320388349514562,234,0.2664359861591695,0.9166666666666666,0.4128686327077748,,,,1.4467785931192338,11,4,5,0.7,1,1
lacerda,hard,5,0.5,100,5,20,20,,0.0,0.638655462184874,0.3614864864864865,0.9469026548672568,0.5232273838630807,195,0.3522727272727273,0.9489795918367347,0.5138121546961326,,,,1.3225021748803556,10,5,5,0.75,1,1
lacerda,hard,5,0.5,100,6,20,20,,0.0,0.5979381443298969,0.2788461538461538,0.90625,0.4264705882352941,234,0.2618181818181818,0.9,0.4056338028169015,,,,0.4055494100321084,9,5,5,0.8,1,1
lacerda,hard,5,0.5,100,7,20,20,,0.0,0.593103448275862,0.303030303030303,0.9090909090909092,0.4545454545454545,216,0.2794117647058823,0.8941176470588236,0.4257703081232493,,,,0.4995738810393959,11,4,5,0.7,1,1
lacerda,hard,5,0.5,100,8,20,20,,0.0,0.631578947368421,0.3069306930693069,0.9393939393939394,0.4626865671641791,216,0.304,0.9382716049382716,0.4592145015105739,,,,0.4442516691051423,7,6,5,0.9,1,1
lacerda,hard,5,0.5,100,9,20,20,,0.0,0.5217391304347826,0.2636655948553054,0.8817204301075269,0.4059405940594059,240,0.2439024390243902,0.8860759493670886,0.3825136612021857,,,,0.480766941094771,11,4,5,0.7,1,1
lacerda,hard,5,0.5,500,0,20,20,,0.0,0.6588235294117647,0.4391304347826087,1.0,0.6102719033232629,129,0.4158878504672897,1.0,0.5874587458745875,,,,0.4327413188293576,13,3,5,0.6,1,1
lacerda,hard,5,0.5,500,1,20,20,,0.0,0.6881720430107526,0.4790697674418605,0.9903846153846154,0.6457680250783698,113,0.4731182795698925,1.0,0.6423357664233577,,,,0.5063973339274526,9,6,5,0.8,1,1
lacerda,hard,5,0.5,500,2,20,20,,0.0,0.6727272727272727,0.4518828451882845,1.0,0.622478386167147,131,0.4407582938388625,1.0,0.6118421052631579,,,,1.5199533398263156,10,4,5,0.75,1,1
lacerda,hard,5,0.5,500,3,20,20,,0.0,0.7391304347826086,0.4439461883408072,1.0,0.6149068322981367,124,0.4322916666666667,1.0,0.6036363636363636,,,,0.430104993050918,9,4,5,0.8,1,1
lacerda,hard,5,0.5,500,4,20,20,,0.0,0.6837606837606837,0.4827586206896552,1.0,0.6511627906976745,105,0.4640883977900552,1.0,0.6339622641509434,,,,0.4906599959358573,11,4,5,0.7,1,1
lacerda,hard,5,0.5,500,5,20,20,,0.0,0.7307692307692308,0.4904761904761904,0.911504424778761,0.6377708978328174,117,0.4864864864864865,0.9183673469387756,0.6360424028268552,,,,0.3848791930358857,10,5,5,0.75,1,1
lacerda,hard,5,0.5,500,6,20,20,,0.0,0.6521739130434783,0.4423963133640553,1.0,0.6134185303514377,121,0.4081632653061224,1.0,0.5797101449275363,,,,0.4033366241492331,9,5,5,0.8,1,1
lacerda,hard,5,0.5,500,7,20,20,,0.0,0.7107438016528926,0.5351351351351351,1.0,0.6971830985915494,86,0.5120481927710844,1.0,0.6772908366533864,,,,0.4994144751690328,11,4,5,0.7,1,1
lacerda,hard,5,0.5,500,8,20,20,,0.0,0.6666666666666666,0.5130890052356021,0.98989898989899,0.6758620689655171,94,0.5063291139240507,0.9876543209876544,0.6694560669456067,,,,0.4389497779775411,7,6,5,0.9,1,1
lacerda,hard,5,0.5,500,9,20,20,,0.0,0.691588785046729,0.4627659574468085,0.935483870967742,0.6192170818505337,107,0.4411764705882353,0.9493670886075948,0.6024096385542168,,,,0.4574348710011691,11,4,5,0.7,1,1
