regime,n,method,ari,exact_pct,partition_exact_pct,ica_sec,selection_sec,total_sec,selection_share,selection_over_ica,dominance_count,seeds,completed,cap_count,timeout_count
hard,10000,arbitrary_control,0.0014672341849838752,0.0,0.0,0.015269312483724207,3.13750933855772e-05,0.01529748738394119,0.002127874919919153,0.002132412499957697,0,30,30,0,0
hard,10000,enum_first_stable,0.968161017129188,90.0,93.33333333333333,0.015269312483724207,6.054172416450456,6.0710081044526305,0.9965709243855425,299.47728619433684,29,30,30,0,4
hard,10000,enum_uniform_random,0.7410422739511514,46.0,55.99999999999999,0.015269312483724207,6.054183874756564,6.071019562758739,0.9965709327865546,299.47791052455744,29,30,30,0,4
hard,10000,ours,0.9923170238576627,93.33333333333333,96.66666666666667,0.015269312483724207,4.3770502088591456e-05,0.015311978990212083,0.0025978128311484813,0.002604585749616809,0,30,30,0,0
hard,50000,arbitrary_control,0.0015194795910255104,0.0,0.0,0.05949935453827493,3.015840193256736e-05,0.05952867544838227,0.0004874795715917703,0.0004877173453440687,0,30,30,0,0
hard,50000,enum_first_stable,1.0,100.0,100.0,0.05949935453827493,6.082750812493032,6.13782504099072,0.9896973810671525,100.67530922132487,28,30,30,0,4
hard,50000,enum_uniform_random,0.996795952782462,98.0,98.0,0.05949935453827493,6.0827617874951105,6.137836015992798,0.9896974024687897,100.67545052060876,28,30,30,0,4
hard,50000,ours,1.0,100.0,100.0,0.05949935453827493,3.587501123547554e-05,0.05955818804795854,0.000599220960001125,0.0005995803040438454,0,30,30,0,0
unstable,10000,arbitrary_control,0.00053182963535485,0.0,0.0,0.015087958512594923,2.9970804462209344e-05,0.015114820917369797,0.0019484456208247883,0.0019522498566619687,0,30,30,0,0
unstable,10000,enum_first_stable,0.8675064385546484,51.724137931034484,62.06896551724138,0.015087958512594923,6.37903460348025,6.394334769982379,0.9971920189625412,378.21651426121616,30,30,29,0,4
unstable,10000,enum_uniform_random,0.8547638301386822,53.103448275862064,67.58620689655172,0.015087958512594923,6.379038524866337,6.394338691368466,0.9971920254696857,378.21714879307456,30,30,29,0,4
unstable,10000,ours,0.9353239096355613,76.66666666666667,83.33333333333334,0.015087958512594923,4.1333521949127316e-05,0.015130521031096578,0.0026207977597134374,0.0026276871169265423,0,30,30,0,0
unstable,50000,arbitrary_control,0.0006282477489115794,0.0,0.0,0.06242733300314285,3.061671159230173e-05,0.062458641495322806,0.00047715252853987317,0.0004773803777249312,0,30,30,0,0
unstable,50000,enum_first_stable,0.9944757806594173,96.55172413793103,96.55172413793103,0.06242733300314285,6.070460437476868,6.127349228947423,0.9894898999530155,101.84527530970388,28,30,29,0,4
unstable,50000,enum_uniform_random,0.9977903122637669,98.62068965517243,98.62068965517243,0.06242733300314285,6.0704705623735205,6.127359353844076,0.9894899214392321,101.84542530388603,28,30,29,0,4
unstable,50000,ours,1.0,100.0,100.0,0.06242733300314285,4.131300374865532e-05,0.06246770799043588,0.0006758051619561406,0.0006762623678924077,0,30,30,0,0
