regime,n,seed,method,ari,exact,partition_exact,ica_runtime_sec,selection_runtime_sec,total_runtime_sec,cap_hit,timed_out,completed,selection_share,selection_over_ica,selection_dominates
hard,10000,0,arbitrary_control,0.002197802197802198,0.0,0.0,0.03157629101769999,4.040021449327469e-05,0.03161669123219326,False,False,True,0.001277812855133232,0.0012794477499155452,False
hard,10000,0,enum_first_stable,1.0,1.0,1.0,0.03157629101769999,11.085019833990373,11.116596125008073,False,False,True,0.9971595360070098,351.05515805439916,True
hard,10000,0,enum_uniform_random,0.9697933227344991,0.8,0.8,0.03157629101769999,11.085032950015739,11.116609241033439,False,False,True,0.9971595393583552,351.0555734301429,True
hard,10000,0,ours,1.0,1.0,1.0,0.03157629101769999,8.483300916850567e-05,0.03166112402686849,False,False,True,0.0026794061100456844,0.0026866046148660335,False
hard,10000,1,arbitrary_control,0.0,0.0,0.0,0.02020083402749151,3.635021857917309e-05,0.020237184246070683,False,False,True,0.0017962093015104592,0.0017994414750254234,False
hard,10000,1,enum_first_stable,1.0,1.0,1.0,0.02020083402749151,0.6379660830134526,0.6581669170409441,False,False,True,0.9693074302210258,31.581175418066323,True
hard,10000,1,enum_uniform_random,0.6939457799250937,0.2,0.2,0.02020083402749151,0.6379822499933653,0.6581830840208568,False,False,True,0.9693081841239612,31.58197573056286,True
hard,10000,1,ours,1.0,1.0,1.0,0.02020083402749151,5.0957954954355955e-05,0.020251791982445866,False,False,True,0.002516219552251278,0.002522566884367585,False
hard,10000,2,arbitrary_control,0.004045512010113781,0.0,0.0,0.017797208041884005,3.934160340577364e-05,0.01783654964528978,False,False,True,0.002205673417120942,0.002210549166655072,False
hard,10000,2,enum_first_stable,1.0,1.0,1.0,0.017797208041884005,0.016096750972792506,0.03389395901467651,False,False,True,0.47491504211185276,0.9044537173982774,False
hard,10000,2,enum_uniform_random,0.8778135048231512,0.6,0.6,0.017797208041884005,0.016120100428815932,0.03391730847069994,False,False,True,0.4752765226858011,0.9057656903756386,False
hard,10000,2,ours,1.0,1.0,1.0,0.017797208041884005,4.3791020289063454e-05,0.01784099906217307,False,False,True,0.0024545161476921024,0.002460555621196624,False
hard,10000,3,arbitrary_control,0.00975609756097561,0.0,0.0,0.0177696660393849,3.905841149389744e-05,0.017808724450878798,False,False,True,0.002193217801849365,0.0021980385791903973,False
hard,10000,3,enum_first_stable,1.0,1.0,1.0,0.0177696660393849,0.19984670798294246,0.21761637402232736,False,False,True,0.9183440762708337,11.24650894057321,True
hard,10000,3,enum_uniform_random,1.0,0.8,1.0,0.0177696660393849,0.1998578077647835,0.21762747380416841,False,False,True,0.9183482410158613,11.247133588319345,True
hard,10000,3,ours,1.0,1.0,1.0,0.0177696660393849,4.979199729859829e-05,0.0178194580366835,False,False,True,0.002794248691295519,0.00280207839518417,False
hard,10000,4,arbitrary_control,0.0,0.0,0.0,0.014847124984953552,5.0358392763882874e-05,0.014897483377717435,False,False,True,0.00338032884394456,0.0033917942237919685,False
hard,10000,4,enum_first_stable,1.0,1.0,1.0,0.014847124984953552,19.29787954100175,19.312726665986702,False,False,True,0.9992312258521682,1299.7721485175548,True
hard,10000,4,enum_uniform_random,1.0,1.0,1.0,0.014847124984953552,19.297896057192702,19.312743182177655,False,False,True,0.9992312265096212,1299.7732609343338,True
hard,10000,4,ours,1.0,1.0,1.0,0.014847124984953552,4.862499190494418e-05,0.014895749976858497,False,False,True,0.0032643533880795683,0.0032750442900037523,False
hard,10000,5,arbitrary_control,0.0,0.0,0.0,0.01754112495109439,4.980019293725491e-05,0.017590925144031645,False,False,True,0.002831016136416874,0.002839053542808717,False
hard,10000,5,enum_first_stable,1.0,1.0,1.0,0.01754112495109439,2.721052666020114,2.7385937909712084,False,False,True,0.9935948423570793,155.12418237750182,True
hard,10000,5,enum_uniform_random,0.6969092721834496,0.6,0.6,0.01754112495109439,2.7210668166051617,2.738607941556256,False,False,True,0.9935948754529915,155.1249890865976,True
